depto	hogar	orden	zona	puntaje_sisben_3	llave	CORTE	FEX	PER001	PER002A	PER003	PER004	PER005	PER006	PER007	PER008	PER009	PER010	PER011	PER012	PER013A	PER014A	PER015	PER016
88	1	1	1	9.25	0001	DIC2016	70.954081633	2	3	1	2	0	0	2	2	4	1	2	0	2	4	0	1
88	1	2	1	9.25	0001	DIC2016	70.954081633	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
88	1	1	2	13.55	0002	DIC2016	70.954081633	2	3	1	2	0	0	2	2	4	1	2	0	2	1	0	1
88	1	2	2	13.55	0002	DIC2016	70.954081633	2	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
88	1	3	2	13.55	0002	DIC2016	70.954081633	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
88	1	4	2	13.55	0002	DIC2016	70.954081633	1	1	4	2	0	0	2	2	0	2	2	0	1	0	0	2
88	1	1	1	44.11	0003	DIC2016	70.954081633	2	3	1	2	0	0	2	2	0	1	2	0	2	1	0	1
88	1	2	1	44.11	0003	DIC2016	70.954081633	1	3	11	2	0	0	2	2	3	2	1	4	2	3	0	2
88	1	3	1	44.11	0003	DIC2016	70.954081633	1	2	11	2	0	0	2	2	3	2	1	4	2	3	0	2
88	1	4	1	44.11	0003	DIC2016	70.954081633	2	3	3	1	7	0	2	2	0	1	2	0	2	1	0	1
88	1	5	1	44.11	0003	DIC2016	70.954081633	2	1	4	2	0	4	2	2	0	2	2	0	1	0	0	2
88	1	6	1	44.11	0003	DIC2016	70.954081633	2	1	4	2	0	4	2	2	0	2	2	0	1	0	0	2
88	1	7	1	44.11	0003	DIC2016	70.954081633	1	3	7	1	4	0	2	2	0	2	2	0	2	1	0	1
88	1	1	2	38.72	0004	DIC2016	70.954081633	2	3	1	2	0	0	2	2	1	1	2	0	2	4	0	1
88	1	1	1	23.11	0005	DIC2016	70.954081633	1	3	1	1	2	0	2	2	3	2	2	0	1	1	0	1
88	1	2	1	23.11	0005	DIC2016	70.954081633	2	3	2	1	1	0	2	2	3	1	2	0	2	4	0	2
88	1	3	1	23.11	0005	DIC2016	70.954081633	1	1	3	2	0	0	2	2	3	2	1	4	1	3	0	2
88	1	4	1	23.11	0005	DIC2016	70.954081633	1	1	3	2	0	0	2	2	3	2	1	4	1	3	0	2
