depto	hogar	orden	zona	puntaje_sisben_3	llave	CORTE	FEX	PER001	PER002B	PER003	PER004	PER005	PER006	PER007	PER008	PER009	PER010	PER011	PER012	PER013A	PER014A	PER015	PER016
81	1	1	1	31.16	0001	DIC2016	138.86637931	1	3	1	1	2	0	2	2	4	2	1	4	2	1	0	1
81	1	2	1	31.16	0001	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	2	1	0	1
81	1	3	1	31.16	0001	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	4	1	31.16	0001	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	5	1	31.16	0001	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	2	1	3	0	2
81	1	6	1	31.16	0001	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	1	40.49	0002	DIC2016	138.86637931	1	3	1	1	2	0	2	2	4	2	2	0	2	1	0	1
81	1	2	1	40.49	0002	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	2	4	0	2
81	1	3	1	40.49	0002	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	4	1	40.49	0002	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	2	1	3	0	2
81	1	1	2	18.23	0003	DIC2016	138.86637931	2	3	1	1	2	0	2	2	4	1	2	0	2	1	0	1
81	1	2	2	18.23	0003	DIC2016	138.86637931	1	4	2	1	1	0	2	2	4	2	2	0	1	1	0	1
81	1	3	2	18.23	0003	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	4	2	18.23	0003	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	5	2	18.23	0003	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	1	2	13.94	0004	DIC2016	138.86637931	1	3	1	2	0	0	2	2	0	2	2	0	1	1	0	1
81	1	1	1	23.89	0005	DIC2016	138.86637931	2	4	1	2	0	0	2	2	4	1	2	0	2	4	0	1
81	1	1	1	31.95	0006	DIC2016	138.86637931	2	4	1	2	0	0	2	2	0	1	2	0	1	1	0	1
81	1	2	1	31.95	0006	DIC2016	138.86637931	1	3	3	2	0	0	2	2	4	2	1	6	2	3	0	2
81	1	3	1	31.95	0006	DIC2016	138.86637931	1	3	3	2	0	0	2	2	0	2	1	6	2	3	0	2
81	1	4	1	31.95	0006	DIC2016	138.86637931	2	3	3	2	0	0	2	2	3	2	2	0	2	1	0	1
81	1	5	1	31.95	0006	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	2	1	1	8.83	0006	DIC2016	138.86637931	2	4	1	2	0	0	2	2	4	1	2	0	1	1	0	1
81	2	2	1	8.83	0006	DIC2016	138.86637931	1	3	3	2	0	0	2	2	4	2	2	0	1	1	0	1
81	2	3	1	8.83	0006	DIC2016	138.86637931	2	3	3	2	0	0	2	2	4	1	2	0	1	1	0	1
81	2	4	1	8.83	0006	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	2	5	1	8.83	0006	DIC2016	138.86637931	2	1	4	2	0	3	2	2	4	2	2	0	1	0	0	2
81	1	1	1	27.37	0007	DIC2016	138.86637931	2	3	1	1	2	0	2	2	4	1	2	0	1	1	0	1
81	1	2	1	27.37	0007	DIC2016	138.86637931	1	3	2	1	1	0	2	2	4	2	2	0	1	1	0	1
81	1	3	1	27.37	0007	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	4	1	27.37	0007	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	5	1	27.37	0007	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	1	14.72	0008	DIC2016	138.86637931	1	4	1	2	0	0	2	2	4	2	2	0	1	1	0	1
81	1	1	2	44.88	0009	DIC2016	138.86637931	1	4	1	1	2	0	2	2	4	2	2	0	1	1	0	1
81	1	2	2	44.88	0009	DIC2016	138.86637931	2	4	2	1	1	0	2	2	4	1	2	0	1	4	0	2
81	1	1	1	24.62	0010	DIC2016	138.86637931	2	3	1	2	0	0	2	2	0	2	2	0	2	1	0	1
81	1	2	1	24.62	0010	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	1	50.03	0011	DIC2016	138.86637931	1	4	1	1	2	0	2	2	4	2	2	0	2	1	0	1
81	1	2	1	50.03	0011	DIC2016	138.86637931	2	4	2	1	1	0	2	2	4	1	2	0	1	1	0	1
81	1	3	1	50.03	0011	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	4	1	50.03	0011	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	5	1	50.03	0011	DIC2016	138.86637931	2	2	3	2	0	0	2	2	0	2	1	4	2	3	0	2
81	1	1	1	53.7	0012	DIC2016	138.86637931	2	4	1	2	0	0	2	2	3	1	2	0	2	1	0	1
81	1	2	1	53.7	0012	DIC2016	138.86637931	2	2	3	2	0	0	2	2	3	2	1	5	2	3	0	2
81	1	1	1	34.5	0013	DIC2016	138.86637931	2	4	1	2	0	0	2	2	4	1	2	0	1	1	0	1
81	1	2	1	34.5	0013	DIC2016	138.86637931	1	2	3	2	0	0	2	2	4	2	1	4	2	3	0	2
81	1	3	1	34.5	0013	DIC2016	138.86637931	1	3	11	1	4	0	2	2	4	2	2	0	1	0	0	2
81	1	4	1	34.5	0013	DIC2016	138.86637931	2	3	11	1	3	0	2	2	4	2	2	0	1	0	0	2
81	1	5	1	34.5	0013	DIC2016	138.86637931	1	1	11	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	2	20.7	0014	DIC2016	138.86637931	2	4	1	1	2	0	2	2	3	2	2	0	2	1	0	1
81	1	2	2	20.7	0014	DIC2016	138.86637931	1	4	2	1	1	0	2	2	2	2	2	0	2	1	0	1
81	1	3	2	20.7	0014	DIC2016	138.86637931	2	3	3	2	0	0	2	2	2	2	1	5	2	3	0	2
81	1	4	2	20.7	0014	DIC2016	138.86637931	1	3	3	2	0	0	2	2	2	2	1	6	2	3	0	2
81	1	1	1	31.4	0015	DIC2016	138.86637931	1	3	1	2	0	0	2	2	0	2	2	0	2	1	0	1
81	1	1	2	43.24	0016	DIC2016	138.86637931	1	4	1	2	0	0	2	2	3	2	2	0	2	1	0	1
81	1	1	1	38.39	0017	DIC2016	138.86637931	2	4	1	1	2	0	2	2	3	1	2	0	2	1	0	1
81	1	2	1	38.39	0017	DIC2016	138.86637931	1	3	2	1	1	0	2	2	0	2	2	0	1	1	0	1
81	1	3	1	38.39	0017	DIC2016	138.86637931	1	2	3	2	0	0	2	2	3	2	1	4	2	3	0	2
81	1	4	1	38.39	0017	DIC2016	138.86637931	2	1	3	2	0	0	2	2	3	2	1	4	1	3	0	2
81	1	5	1	38.39	0017	DIC2016	138.86637931	2	1	3	2	0	0	2	2	3	2	1	4	1	3	0	2
81	1	1	1	39.25	0018	DIC2016	138.86637931	1	4	1	2	0	0	2	2	0	2	2	0	1	0	0	1
81	1	1	2	32.35	0019	DIC2016	138.86637931	2	3	1	2	0	0	2	2	4	1	2	0	2	1	0	1
81	1	2	2	32.35	0019	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	3	2	32.35	0019	DIC2016	138.86637931	2	3	6	2	0	0	2	2	0	1	2	0	2	1	0	1
81	1	4	2	32.35	0019	DIC2016	138.86637931	1	3	6	2	0	0	2	2	0	2	2	0	1	1	0	1
81	1	5	2	32.35	0019	DIC2016	138.86637931	1	2	6	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	1	2	9.59	0020	DIC2016	138.86637931	1	4	1	2	0	0	2	2	4	2	2	0	1	1	0	1
81	1	1	2	29.29	0021	DIC2016	138.86637931	1	3	1	1	2	0	2	2	4	2	2	0	1	1	0	1
81	1	2	2	29.29	0021	DIC2016	138.86637931	2	3	2	1	1	0	2	2	4	1	2	0	1	4	0	2
81	1	3	2	29.29	0021	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	4	2	29.29	0021	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	4	1	3	0	2
81	1	5	2	29.29	0021	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	2	0	1	0	0	2
81	1	1	2	30.73	0022	DIC2016	138.86637931	2	4	1	1	0	0	2	2	4	1	2	0	2	4	0	2
81	1	2	2	30.73	0022	DIC2016	138.86637931	1	1	3	2	0	0	2	2	4	2	1	4	1	3	0	1
81	1	3	2	30.73	0022	DIC2016	138.86637931	2	1	3	2	0	0	2	2	4	2	1	4	1	3	0	1
81	1	4	2	30.73	0022	DIC2016	138.86637931	1	4	14	2	0	0	2	2	0	2	2	0	1	1	0	1
81	1	1	2	21.67	0023	DIC2016	138.86637931	1	3	1	1	2	0	2	2	0	2	2	0	1	1	0	1
81	1	2	2	21.67	0023	DIC2016	138.86637931	2	3	2	1	1	0	2	2	1	2	2	0	1	4	0	2
81	1	3	2	21.67	0023	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	4	2	21.67	0023	DIC2016	138.86637931	2	1	3	2	0	0	2	2	0	2	2	0	1	0	0	2
81	1	5	2	21.67	0023	DIC2016	138.86637931	1	4	5	2	0	0	2	2	0	2	2	0	1	0	0	2
